date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:15	48157/48157	---M-Z	200	added ('OK')	text/html	etag:%22bc1d-642a65b6-cf28919a9fb4937b;gz%22	https://wpriverthemes.com/HTML/drake/home1.html	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/home1.html	(from )
11:26:15	114/114	---MCZ	200	added ('OK')	text/plain	etag:%221055-1681263195;gz%22	https://wpriverthemes.com/robots.txt		(from )
11:26:15	2217/2217	---M--	200	added ('OK')	image/png	etag:%228a9-642a65bb-291c461594fc9c8b;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/favicon.png	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/images/favicon.png	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:16	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-17e433a3ff0%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	E:/Templates/Drake(portfolio)/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:16	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-642a65be-addbd6a04db94745;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:17	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-642a65be-ec0a48ce31e2e50a;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:17	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-642a65be-678a6ae2a9507729;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:18	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-642a65be-58b0e26464c05063;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/animate.min.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/animate.min.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:18	1717/1717	---M-Z	200	added ('OK')	text/css	etag:%226b5-642a65be-612e172b761141a2;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:18	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%229e4-642a65bf-8809ef6bd761b1bb;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:19	43595/43595	---M-Z	200	added ('OK')	text/css	etag:%22aa4b-642a65be-63f9b600aa6d308a;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/style.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/style.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:19	7983/7983	---M-Z	200	added ('OK')	text/css	etag:%221f2f-642a65be-6fd63d1362cd479a;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/responsive.css	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/css/responsive.css	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:19	48149/48149	---M-Z	200	added ('OK')	text/html	etag:%22bc15-642a65b7-bd67adf334d7c27f;gz%22	https://wpriverthemes.com/HTML/drake/home2.html	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/home2.html	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:20	48144/48144	---M-Z	200	added ('OK')	text/html	etag:%22bc10-642a65b6-cb3e6edcc4bea9fe;gz%22	https://wpriverthemes.com/HTML/drake/home3.html	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/home3.html	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:20	48144/48144	---M-Z	200	added ('OK')	text/html	etag:%22bc10-642a65b6-5be78c023dff58f8;gz%22	https://wpriverthemes.com/HTML/drake/home4.html	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/home4.html	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:20	48010/48010	---M-Z	200	added ('OK')	text/html	etag:%22bb8a-642a65b7-d4a091ec04e64a27;gz%22	https://wpriverthemes.com/HTML/drake/home6.html	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/home6.html	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:21	48143/48143	---M-Z	200	added ('OK')	text/html	etag:%22bc0f-642a65b6-7767d25be50d732;gz%22	https://wpriverthemes.com/HTML/drake/home5.html	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/home5.html	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:21	1060/1060	---M--	200	added ('OK')	image/png	etag:%22424-642a65bc-6f0d7530e4d37150;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/logo.png	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/images/logo.png	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:21	4796720/4796720	---M--	200	added ('OK')	video/mp4	etag:%22493130-642a65bd-aa3e7f7050cad92c;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/video1.mp4	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/images/video1.mp4	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:22	1504/1504	---M--	200	added ('OK')	image/png	etag:%225e0-642a65b8-1dce9edcee39c1ac;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/round-text.png	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/images/round-text.png	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:23	26050/26050	---M--	200	added ('OK')	image/jpeg	etag:%2265c2-642a65b8-f6acefe33bd89af;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/me.jpg	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/images/me.jpg	(from https://wpriverthemes.com/HTML/drake/home1.html)
11:26:23	1680/1680	---M--	200	added ('OK')	image/png	etag:%22690-642a65ba-aba9c03a981475ca;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/figma.png	E:/Templates/Drake(portfolio)/wpriverthemes.com/HTML/drake/assets/images/figma.png	(from https://wpriverthemes.com/HTML/drake/home1.html)
